,date,team,adversary,spi,prob,probtie,score,score_adversary
0,2022-11-20,Qatar,Ecuador,51.0,0.2369,0.2586,0,2
1,2022-11-21,England,Iran,85.96,0.6274,0.2539,6,2
2,2022-11-21,Senegal,Netherlands,73.84,0.2235,0.2712,0,2
3,2022-11-21,USA,Wales,74.83,0.4489,292.0,1,1
4,2022-11-22,Argentina,Saudi Arabia,87.21,0.7228,0.1966,1,2
5,2022-11-22,Denmark,Tunisia,80.02,0.5001,0.2945,0,0
6,2022-11-22,Mexico,Poland,74.3,0.4238,296.0,0,0
7,2022-11-22,France,Australia,87.71,0.6921,207.0,4,1
8,2022-11-23,Morocco,Croatia,75.62,0.3176,0.2926,0,0
9,2022-11-23,Germany,Japan,88.77,0.6041,0.2219,1,2
10,2022-11-23,Spain,Costa Rica,89.51,0.7623,0.1781,7,0
11,2022-11-23,Belgium,Canada,82.49,0.4888,265.0,1,0
12,2022-11-24,Switzerland,Cameroon,77.65,0.4991,0.2823,1,0
13,2022-11-24,Uruguay,South Korea,80.9,0.5256,0.2838,0,0
14,2022-11-24,Portugal,Ghana,87.77,0.6974,0.2114,3,2
15,2022-11-24,Brazil,Serbia,93.55,0.6787,0.2089,2,0
16,2022-11-25,Wales,Iran,67.64,0.3875,0.3156,0,2
17,2022-11-25,Qatar,Senegal,48.16,0.2098,0.2674,1,3
18,2022-11-25,Netherlands,Ecuador,86.07,0.4949,0.2803,1,1
19,2022-11-25,England,USA,86.26,0.5436,0.2598,0,0
20,2022-11-26,Tunisia,Australia,66.48,0.3883,0.3223,0,1
21,2022-11-26,Poland,Saudi Arabia,68.14,0.4061,0.3029,2,0
22,2022-11-26,France,Denmark,89.25,0.5064,0.2744,2,1
23,2022-11-26,Argentina,Mexico,86.09,0.5079,0.2928,2,0
24,2022-11-27,Japan,Costa Rica,71.98,0.5955,0.2547,0,1
25,2022-11-27,Belgium,Morocco,80.54,407.0,0.2873,0,2
26,2022-11-27,Croatia,Canada,78.46,0.4069,0.3037,4,1
27,2022-11-27,Spain,Germany,91.22,0.4619,0.26,1,1
28,2022-11-28,Cameroon,Serbia,63.62,0.2444,0.2981,3,3
29,2022-11-28,South Korea,Ghana,66.44,443.0,0.3222,2,3
30,2022-11-28,Brazil,Switzerland,93.66,0.6427,0.2372,1,0
31,2022-11-28,Portugal,Uruguay,87.3,0.4392,298.0,2,0
32,2022-11-29,Netherlands,Qatar,84.38,0.7768,0.1536,2,0
33,2022-11-29,Ecuador,Senegal,75.82,0.3668,0.3371,1,2
34,2022-11-29,Iran,USA,65.77,0.3082,0.3154,0,1
35,2022-11-29,Wales,England,65.17,0.1437,0.2564,0,3
36,2022-11-30,Tunisia,France,65.92,0.1116,0.2374,1,0
37,2022-11-30,Australia,Denmark,58.8,0.1985,0.2795,1,0
38,2022-11-30,Poland,Argentina,68.95,0.1547,0.2669,0,2
39,2022-11-30,Saudi Arabia,Mexico,58.41,0.2307,0.3066,1,2
40,2022-12-01,Canada,Morocco,71.52,0.2898,0.3147,1,2
41,2022-12-01,Croatia,Belgium,80.87,0.3881,0.2866,0,0
42,2022-12-01,Costa Rica,Germany,52.9,0.0512,0.1442,2,4
43,2022-12-01,Japan,Spain,70.43,0.1391,0.2474,2,1
44,2022-12-02,Ghana,Uruguay,60.5,0.1564,0.2766,0,2
45,2022-12-02,South Korea,Portugal,66.93,0.1666,0.2468,2,1
46,2022-12-02,Serbia,Switzerland,74.72,0.3126,0.2909,2,3
47,2022-12-02,Cameroon,Brazil,64.48,0.0363,0.1524,1,0
48,2022-12-03,Netherlands,USA,83.97,0.6551,0.0,3,1
49,2022-12-03,Argentina,Australia,87.98,0.8261,0.0,2,1
50,2022-12-04,France,Poland,88.57,0.8133,0.0,3,1
51,2022-12-04,England,Senegal,86.97,0.6814,0.0,3,0
52,2022-12-05,Japan,Croatia,73.02,454.0,0.0,1,1
53,2022-12-05,Brazil,South Korea,92.9,0.8261,0.0,4,1
54,2022-12-06,Morocco,Spain,74.42,0.2711,0.0,0,0
55,2022-12-06,Portugal,Switzerland,85.8,0.6158,0.0,6,1
56,2022-12-09,Croatia,Brazil,78.99,0.2264,0.0,1,1
57,2022-12-09,Netherlands,Argentina,84.19,0.4238,0.0,2,2
58,2022-12-10,Morocco,Portugal,74.45,0.3185,0.0,1,0
59,2022-12-10,England,France,87.59,516.0,0.0,1,2
60,2022-12-13,Argentina,Croatia,87.46,0.6426,0.0,3,0
61,2022-12-14,France,Morocco,87.72,0.6646,0.0,2,0
62,2022-12-17,Croatia,Morocco,77.65,0.5325,0.0,2,1
63,2022-12-18,Argentina,France,88.86,0.5321,0.0,3,3
0,2022-11-20,Ecuador,Qatar,72.74,0.5045,0.2586,2,0
1,2022-11-21,Iran,England,62.17,0.1187,0.2539,2,6
2,2022-11-21,Netherlands,Senegal,86.01,0.5053,0.2712,2,0
3,2022-11-21,Wales,USA,65.58,0.2591,292.0,1,1
4,2022-11-22,Saudi Arabia,Argentina,56.87,0.0807,0.1966,2,1
5,2022-11-22,Tunisia,Denmark,65.85,0.2054,0.2945,0,0
6,2022-11-22,Poland,Mexico,68.28,0.2802,296.0,0,0
7,2022-11-22,Australia,France,60.83,0.1009,207.0,1,4
8,2022-11-23,Croatia,Morocco,78.84,0.3898,0.2926,0,0
9,2022-11-23,Japan,Germany,71.44,174.0,0.2219,2,1
10,2022-11-23,Costa Rica,Spain,55.46,0.0595,0.1781,0,7
11,2022-11-23,Canada,Belgium,71.59,0.2462,265.0,0,1
12,2022-11-24,Cameroon,Switzerland,64.16,0.2186,0.2823,0,1
13,2022-11-24,South Korea,Uruguay,66.12,0.1906,0.2838,0,0
14,2022-11-24,Ghana,Portugal,58.63,0.0912,0.2114,2,3
15,2022-11-24,Serbia,Brazil,75.84,0.1124,0.2089,0,2
16,2022-11-25,Iran,Wales,63.33,0.2969,0.3156,2,0
17,2022-11-25,Senegal,Qatar,73.23,0.5228,0.2674,3,1
18,2022-11-25,Ecuador,Netherlands,74.37,0.2248,0.2803,1,1
19,2022-11-25,USA,England,72.63,0.1965,0.2598,0,0
20,2022-11-26,Australia,Tunisia,58.65,0.2894,0.3223,1,0
21,2022-11-26,Saudi Arabia,Poland,59.01,0.2911,0.3029,0,2
22,2022-11-26,Denmark,France,78.87,0.2192,0.2744,1,2
23,2022-11-26,Mexico,Argentina,73.48,0.1993,0.2928,0,2
24,2022-11-27,Costa Rica,Japan,51.99,0.1498,0.2547,1,0
25,2022-11-27,Morocco,Belgium,74.67,0.3057,0.2873,2,0
26,2022-11-27,Canada,Croatia,73.84,0.2893,0.3037,1,4
27,2022-11-27,Germany,Spain,88.73,0.2781,0.26,1,1
28,2022-11-28,Serbia,Cameroon,74.55,0.4575,0.2981,3,3
29,2022-11-28,Ghana,South Korea,60.03,0.2348,0.3222,3,2
30,2022-11-28,Switzerland,Brazil,77.52,0.1202,0.2372,0,1
31,2022-11-28,Uruguay,Portugal,79.7,0.2628,298.0,0,2
32,2022-11-29,Qatar,Netherlands,48.46,0.0696,0.1536,0,2
33,2022-11-29,Senegal,Ecuador,73.0,0.2961,0.3371,2,1
34,2022-11-29,USA,Iran,72.55,0.3764,0.3154,1,0
35,2022-11-29,England,Wales,85.41,0.6,0.2564,3,0
36,2022-11-30,France,Tunisia,90.15,651.0,0.2374,0,1
37,2022-11-30,Denmark,Australia,77.68,522.0,0.2795,0,1
38,2022-11-30,Argentina,Poland,86.03,0.5784,0.2669,2,0
39,2022-11-30,Mexico,Saudi Arabia,72.44,0.4627,0.3066,2,1
40,2022-12-01,Morocco,Canada,74.99,0.3956,0.3147,2,1
41,2022-12-01,Belgium,Croatia,79.44,0.3253,0.2866,0,0
42,2022-12-01,Germany,Costa Rica,88.86,0.8045,0.1442,4,2
43,2022-12-01,Spain,Japan,90.62,0.6135,0.2474,1,2
44,2022-12-02,Uruguay,Ghana,79.28,0.5669,0.2766,2,0
45,2022-12-02,Portugal,South Korea,87.55,0.5866,0.2468,1,2
46,2022-12-02,Switzerland,Serbia,77.0,0.3965,0.2909,3,2
47,2022-12-02,Brazil,Cameroon,93.48,0.8112,0.1524,0,1
48,2022-12-03,USA,Netherlands,73.07,0.3449,0.0,1,3
49,2022-12-03,Australia,Argentina,59.35,0.1739,0.0,1,2
50,2022-12-04,Poland,France,65.77,0.1867,0.0,1,3
51,2022-12-04,Senegal,England,75.47,0.3186,0.0,0,3
52,2022-12-05,Croatia,Japan,79.14,546.0,0.0,1,1
53,2022-12-05,South Korea,Brazil,69.4,0.1739,0.0,1,4
54,2022-12-06,Spain,Morocco,89.2,0.7289,0.0,0,0
55,2022-12-06,Switzerland,Portugal,78.51,0.3842,0.0,1,6
56,2022-12-09,Brazil,Croatia,93.47,0.7736,0.0,1,1
57,2022-12-09,Argentina,Netherlands,87.32,0.5762,0.0,2,2
58,2022-12-10,Portugal,Morocco,87.92,0.6815,0.0,0,1
59,2022-12-10,France,England,87.53,484.0,0.0,2,1
60,2022-12-13,Croatia,Argentina,79.37,0.3574,0.0,0,3
61,2022-12-14,Morocco,France,75.13,0.3354,0.0,0,2
62,2022-12-17,Morocco,Croatia,73.92,0.4675,0.0,1,2
63,2022-12-18,France,Argentina,88.41,0.4679,0.0,3,3
